name,price,stars,link
cinnamon-bun-bites,"€2,49",5.00,/collections/snack-americani/products/cinnamon-bun-bites
arizona-tea-blueberry-te-ai-mirtilli-da-500-ml,"€2,49",0.00,/collections/snack-americani/products/arizona-tea-blueberry-te-ai-mirtilli-da-500-ml
betty-crocker-gluten-free-fudge-brownie-preparato-per-brownie-senza-glutine-da-415g,"€6,99",0.00,/collections/snack-americani/products/betty-crocker-gluten-free-fudge-brownie-preparato-per-brownie-senza-glutine-da-415g
cadbury-starbar,"€1,79",0.00,/collections/snack-americani/products/cadbury-starbar
betty-crocker-cream-cheese-style-icing,"€4,49",5.00,/collections/snack-americani/products/betty-crocker-cream-cheese-style-icing
kit-kat-big-little-whole-wheat-wafer-ripieno-di-crema-e-biscotto-integrale-da-45g,"€5,79",0.00,/collections/snack-americani/products/kit-kat-big-little-whole-wheat-wafer-ripieno-di-crema-e-biscotto-integrale-da-45g
heinz-spaghetti-spaghetti-da-400g,"€2,49",0.00,/collections/snack-americani/products/heinz-spaghetti-spaghetti-da-400g
shaken-bake-seasoning-parmesan-crusted,"€4,99",0.00,/collections/snack-americani/products/shaken-bake-seasoning-parmesan-crusted
chupa-chups-drink-arancia-bevanda-allarancia-da-345ml,"€2,49",4.00,/collections/snack-americani/products/chupa-chups-drink-arancia-bevanda-allarancia-da-345ml
betty-crocker-classic-coffee-cake-mix,"€4,89",5.00,/collections/snack-americani/products/betty-crocker-classic-coffee-cake-mix
arizona-iced-tea-peach-te-nero-alla-pesca-da-500ml,"€2,49",0.00,/collections/snack-americani/products/arizona-iced-tea-peach-te-nero-alla-pesca-da-500ml
kool-aid-tropical-punch,"€0,99",0.00,/collections/snack-americani/products/kool-aid-tropical-punch
bang-candy-apple-crisp-energy-drink-alla-mela-da-500ml,"€3,49",0.00,/collections/snack-americani/products/bang-candy-apple-crisp-energy-drink-alla-mela-da-500ml
old-el-paso-refried-beans-purea-di-fagioli-messicani-da-435g,"€2,49",0.00,/collections/snack-americani/products/old-el-paso-refried-beans-purea-di-fagioli-messicani-da-435g
big-league-gum-sour-apple,"€2,49",5.00,/collections/snack-americani/products/big-league-gum-sour-apple
cadbury-wispa-barretta-di-cioccolato-da-36g,"€1,79",0.00,/collections/snack-americani/products/cadbury-wispa-barretta-di-cioccolato-da-36g
capri-sun-orange-succo-di-frutta-allarancia-da-200-ml,"€1,49",0.00,/collections/snack-americani/products/capri-sun-orange-succo-di-frutta-allarancia-da-200-ml
cookie-dough-bites-cookiesncream,"€2,49",4.00,/collections/snack-americani/products/cookie-dough-bites-cookiesncream
big-league-chew-bubble-gum-grape,"€2,49",4.75,/collections/snack-americani/products/big-league-chew-bubble-gum-grape
flipz-strawberry-cheescake-coated-pretzel-pretzel-alla-fragola-da-90g,"€5,29",0.00,/collections/snack-americani/products/flipz-strawberry-cheescake-coated-pretzel-pretzel-alla-fragola-da-90g
heinz-hoop-no-added-sugar-spaghetti-al-pomodoro-senza-zuccheri-aggiunti-da-400g,"€2,99",0.00,/collections/snack-americani/products/heinz-hoop-no-added-sugar-spaghetti-al-pomodoro-senza-zuccheri-aggiunti-da-400g
pocky-tasty-butter-biscotti-ricoperti-di-crema-al-burro-darachidi-da-39g,"€4,99",0.00,/collections/snack-americani/products/pocky-tasty-butter-biscotti-ricoperti-di-crema-al-burro-darachidi-da-39g
old-jamaica-ginger-beer-bevanda-al-ginger-da-330ml,"€1,49",4.50,/collections/snack-americani/products/old-jamaica-ginger-beer-bevanda-al-ginger-da-330ml
herrs-deep-dish-pizza-big-pack,"€4,49",0.00,/collections/snack-americani/products/herrs-deep-dish-pizza-big-pack
dragonball-super-vegeta-iced-tea-alla-pesca-da-500ml,"€4,29",0.00,/collections/snack-americani/products/dragonball-super-vegeta-iced-tea-alla-pesca-da-500ml
isadora-frijoles-refritos-negros-purea-di-fagioli-neri-da-430g,"€3,99",0.00,/collections/snack-americani/products/isadora-frijoles-refritos-negros-purea-di-fagioli-neri-da-430g
van-holtens-dill-pickle,"€2,99",0.00,/collections/snack-americani/products/van-holtens-dill-pickle
hersheys-cookiesncreme-dipped-pretzel-pretzel-rivestiti-di-cioccolato-bianco-da-120g,"€4,99",5.00,/collections/snack-americani/products/hersheys-cookiesncreme-dipped-pretzel-pretzel-rivestiti-di-cioccolato-bianco-da-120g
bever-jarrito-mandarin-bevanda-al-mandarino-da-370ml,"€3,29",0.00,/collections/snack-americani/products/bever-jarrito-mandarin-bevanda-al-mandarino-da-370ml
ocean-spray-cranberry-raspberry,"€3,49",0.00,/collections/snack-americani/products/ocean-spray-cranberry-raspberry
francks-red-hot-original-wing-souce-cayenne-salsa-piccante-da-946ml,"€17,99",0.00,/collections/snack-americani/products/francks-red-hot-original-wing-souce-cayenne-salsa-piccante-da-946ml
jumex-papaya-pineapple-355-bevanda-al-gusto-di-papaya-e-ananas-da-355ml,"€1,69",0.00,/collections/snack-americani/products/jumex-papaya-pineapple-355-bevanda-al-gusto-di-papaya-e-ananas-da-355ml
dragonball-z-vegeta-iced-tea-alla-pesca-da-500ml,"€4,29",0.00,/collections/snack-americani/products/dragonball-z-vegeta-iced-tea-alla-pesca-da-500ml
coca-cola-zero-33cl,"€0,79",0.00,/collections/snack-americani/products/coca-cola-zero-33cl
dragonball-super-zamasu-iced-tea-alla-pesca-da-500ml,"€4,29",0.00,/collections/snack-americani/products/dragonball-super-zamasu-iced-tea-alla-pesca-da-500ml
dragonball-super-jiren-iced-tea-alla-pesca-da-500ml,"€4,29",0.00,/collections/snack-americani/products/dragonball-super-jiren-iced-tea-alla-pesca-da-500ml
dragonball-z-frieza-iced-tea-alla-pesca-da-500ml,"€4,29",0.00,/collections/snack-americani/products/dragonball-z-frieza-iced-tea-alla-pesca-da-500ml
7-up-cocktail-exotic-bevanda-ai-frutti-esotici-da-33ml,"€1,49",4.50,/collections/snack-americani/products/7-up-cocktail-exotic-bevanda-ai-frutti-esotici-da-33ml
kool-aid-jamaica-preparato-per-bevande-allhibiscus-da-3-9g,"€0,99",0.00,/collections/snack-americani/products/kool-aid-jamaica-preparato-per-bevande-allhibiscus-da-3-9g
dragonball-z-trunks-iced-tea-alla-pesca-da-500ml,"€4,29",0.00,/collections/snack-americani/products/dragonball-z-trunks-iced-tea-alla-pesca-da-500ml
brachs-peppermint-christmas-nougats-caramelle-alla-menta-peperita-da-312g,"€6,49",0.00,/collections/snack-americani/products/brachs-peppermint-christmas-nougats-caramelle-alla-menta-peperita-da-312g
mr-freshleys-jumbo-honey-buns,"€1,99",0.00,/collections/snack-americani/products/mr-freshleys-jumbo-honey-buns
